feature,family,vif,r2_vs_all_others
BB5_T2,BB5,4594429284.3757,1.0
BB6_T8,BB6,129359422999.8645,1.0
BB6_T9,BB6,46433251398.8219,1.0
BB4_T9,BB4,47024476036.7602,1.0
BB4_T8,BB4,129945981037.5213,1.0
BB4_T7,BB4,50601886422.4153,1.0
BB4_T6,BB4,77820810553.374,1.0
BB16,BB16,346209827909.015,1.0
BB15_T12,BB15,392087972735.0486,1.0
BB15_T11,BB15,574901314171.9464,1.0
BB15_T10,BB15,357060049939.8067,1.0
PB4_T7,PB4,1809848923.604,1.0
PB4_T8,PB4,1641387912.2452,1.0
BB3_T1,BB3,27158192.838,1.0
BB3_T11,BB3,16615602181.0238,1.0
BB1_T11,BB1,630486338752.0957,1.0
BB1_T10,BB1,487938805458.189,1.0
BB14_T4,BB14,120461325961.2241,1.0
BB1_T6,BB1,143851548061.1858,1.0
BB1_T8,BB1,135619865978.056,1.0
BB7_T7,BB7,283443132252.5688,1.0
BB14_T5,BB14,99293545829.0794,1.0
BB1_T7,BB1,121374135379.322,1.0
BB1_T4,BB1,402560893900.3202,1.0
BB11_T12,BB11,1711786.5642,0.999999
PB15_T9,PB15,1178607.3046,0.999999
BB12_T12,BB12,1675311.9598,0.999999
PB17_T9,PB17,1178599.9879,0.999999
PB11_T10,PB11,917468.684,0.999999
PB10_T9,PB10,781087.8447,0.999999
PB11_T12,PB11,957087.6364,0.999999
PB10_T11,PB10,958965.737,0.999999
PB11_T11,PB11,940938.3151,0.999999
PB10_T12,PB10,982577.3551,0.999999
PB11_T9,PB11,710309.7666,0.999999
PB10_T10,PB10,918392.5397,0.999999
PB10_T7,PB10,461058.0414,0.999998
PB10_T8,PB10,641830.6361,0.999998
PB15_T10,PB15,582148.9941,0.999998
PB11_T8,PB11,591034.665,0.999998
PB17_T10,PB17,582195.6375,0.999998
VB5_T11,VB5,525090.322,0.999998
VB5_T10,VB5,554791.2441,0.999998
PB11_T7,PB11,406568.0772,0.999998
PB10_T5,PB10,294173.0183,0.999997
PB10_T6,PB10,307460.5502,0.999997
PB11_T5,PB11,295049.5798,0.999997
PB11_T6,PB11,303850.7568,0.999997
PB3_T5,PB3,369784.6374,0.999997
VB5_T5,VB5,275471.3893,0.999996
PB11_T1,PB11,248967.6302,0.999996
PB10_T4,PB10,248996.2653,0.999996
VB5_T9,VB5,284349.2415,0.999996
PB15_T2,PB15,271729.3362,0.999996
PB11_T4,PB11,253097.6769,0.999996
VB5_T8,VB5,242891.9258,0.999996
PB10_T1,PB10,247129.8708,0.999996
PB17_T2,PB17,271726.4003,0.999996
PB11_T2,PB11,187087.4538,0.999995
PB11_T3,PB11,198382.7192,0.999995
PB10_T3,PB10,195084.1526,0.999995
PB3_T6,PB3,213493.4788,0.999995
VB5_T6,VB5,216085.5781,0.999995
PB10_T2,PB10,188910.0531,0.999995
VB5_T4,VB5,155948.1119,0.999994
VB5_T7,VB5,138998.2736,0.999993
VB5_T12,VB5,122544.4326,0.999992
PB15_T7,PB15,89616.752,0.999989
PB17_T7,PB17,89621.2162,0.999989
